module,line,branch,combined,difficulty
flutils.packages,33.0,3.8,18.4,hard
dataclasses_json.mm,46.7,13.0,29.8,hard
py_backwards.main,48.9,7.7,28.3,hard
dataclasses_json.core,17.2,5.6,11.4,hard
typesystem.tokenize.positional_validation,37.9,25.0,31.5,hard
thonny.roughparse,39.8,21.0,30.4,hard
httpie.client,37.6,11.1,24.3,hard
semantic_release.ci_checks,50.0,18.0,34.0,medium
pypara.accounting.journaling,87.0,30.0,58.5,medium
dataclasses_json.undefined,44.3,22.0,33.1,medium
thonny.plugins.pgzero_frontend,45.5,60.0,52.7,medium
pypara.exchange,68.8,27.3,48.0,medium
docstring_parser.common,87.6,43.8,65.7,medium
flutes.timing,54.5,50.0,52.3,medium
semantic_release.hvcs,73.1,47.5,60.3,medium
pypara.accounting.ledger,80.8,36.0,58.4,medium
pymonet.task,63.6,33.3,48.5,medium
typesystem.tokenize.tokenize_json,74.0,61.4,67.7,easy
string_utils.generation,90.0,89.2,89.6,easy
py_backwards.transformers.six_moves,100.0,95.0,97.5,easy
pytutils.env,94.0,87.5,90.7,easy
string_utils.validation,92.8,78.4,85.6,easy
sty.primitive,95.8,97.3,96.6,easy
httpie.plugins.base,95.5,87.5,91.5,easy
py_backwards.compiler,96.5,45.8,71.2,easy
docstring_parser.parser,93.3,86.9,90.1,easy
codetiming._timers,97.7,81.5,89.6,easy
pymonet.maybe,93.8,72.2,83.0,easy
flutils.decorators,63.6,66.7,65.2,medium
flutes.iterator,93.5,74.1,83.8,easy
tqdm.contrib.logging,45.8,9.4,27.6,hard
tornado.auth,32.0,12.2,22.1,hard
blib2to3.pgen2.pgen,24.3,19.8,22.1,hard
youtube_dl.downloader.http,5.2,1.2,3.2,hard
youtube_dl.extractor.archiveorg,49.3,13.3,31.3,hard
tqdm.gui,17.2,6.8,12.0,hard
cookiecutter.prompt,62.0,49.2,55.6,medium
blib2to3.pgen2.parse,48.1,30.2,39.1,medium
pysnooper.utils,73.3,55.1,64.2,medium
cookiecutter.find,77.8,45.5,61.6,medium
blib2to3.pytree,63.1,42.4,52.7,medium
tornado.locks,66.0,39.1,52.6,medium
cookiecutter.replay,94.8,76.6,85.7,easy
youtube_dl.postprocessor.common,95.2,77.8,86.5,easy
blib2to3.pgen2.grammar,98.6,72.2,85.4,easy
tornado.escape,88.4,75.9,82.2,easy
cookiecutter.zipfile,45.3,31.4,38.4,medium
pysnooper.pycompat,45.5,19.4,32.4,hard
pysnooper.tracer,64.5,41.9,53.2,medium
pysnooper.variables,51.5,28.7,40.1,medium
